Ping,JDBC
0.63023996,2.4221
0.7047857,2.7138
0.8144571,3.4549
0.71358615,2.8816
0.6729616,2.5366
0.7277777,2.6859
0.66533333,2.3799
0.5805833,2.3734
0.6161071,2.7046
0.66880006,2.4833
0.68866664,2.3216
0.69604343,2.2816
0.79231036,2.8946
0.60436,2.4338
0.6244,2.4779
0.69448,2.4216
0.70604,2.4262
0.60996,2.4949
0.6148696,2.2939
0.7843929,2.7659
0.66048,2.4574
0.67416,2.4561
0.65737504,2.3704
0.6013479,2.2391
0.6594545,2.1428
0.5839546,2.1985
0.6081304,2.2041
0.6278182,2.2006
0.58470833,2.3275
0.7148333,2.3759
0.6129565,2.2955
0.67336005,2.4949
0.8627587,2.8669
0.8481935,3
0.71807694,2.5011
0.61526084,2.2708
0.6565455,2.193
0.6088182,2.145
0.6734545,2.1752
0.51777273,2.1421
0.6921905,2.1103
0.5507619,2.0902
0.52913636,2.1211
0.5360952,2.0993
0.65546143,2.5166
0.5545834,2.3439
0.67125005,2.7188
0.66265213,2.2363
0.5935217,2.2285
0.70825005,2.3646
0.6595333,2.9082
0.62748,2.4335
0.68160003,2.4147
0.74070835,2.3378
0.6161668,2.3882
0.67893106,2.8431
0.95579416,3.3705
0.744,2.7245
0.615,2.6556
0.7890769,2.6556
0.59707403,2.6291
0.59983337,2.4229
0.6472084,2.3357
0.7164139,2.8334
0.73467845,2.708
0.5724546,2.1929
0.595913,2.217
0.64172727,2.2035
0.62395644,2.271
0.57881814,2.1975
0.6197392,2.2436
0.5894348,2.2123
0.5645238,2.1198
0.63347626,2.0855
0.55819046,2.063
0.59772724,2.1426
0.5454545,2.115
0.57222724,2.1841
0.605,2.2325
0.5783636,2.1765
0.7319584,2.3345
0.77716666,2.9445
0.83492595,2.6438
0.68232,2.4325
0.7027778,2.6346
0.67072,2.4947
0.67154163,2.3972
0.61260873,2.2434
0.725,2.185
0.64841676,2.3868
0.58956003,2.4624
0.765077,2.5918
0.65553564,2.7055
0.73986197,2.8994
0.865147,3.3375
0.6619131,2.265
0.7311739,2.3141
0.68429166,2.3082
0.75446165,2.5627
0.64952,2.4079
0.65630764,2.5892
0.7010333,2.9642
0.6583846,2.5517
0.8124444,2.6342
0.8882222,2.6977
0.66875005,2.3893
0.63649994,2.3353
0.68169564,2.2774
0.715125,2.3256
0.6294783,2.2412
0.6594166,2.3255
0.6592083,2.3388
0.601087,2.2656
0.81009096,2.1528
0.627,2.2262
0.638,2.3892
0.6882916,2.3076
0.62236,2.4384
0.76838464,2.553
0.6927391,2.2703
0.7975385,2.5706
0.63496,2.4973
0.773,2.5736
0.8071922,2.5689
0.6595,2.5051
0.84851724,2.8315
0.8119287,2.7733
0.64,2.3075
0.641875,2.3166
0.58573914,2.2877
0.6713076,2.5998
0.608375,2.3271
0.8158182,2.1692
0.59381825,2.152
0.6391739,2.2025
0.6348695,2.2487
0.65236354,2.161
0.5862728,2.1964
0.58363634,2.1281
0.74645835,2.3979
0.88180655,3.0154
0.72277766,2.6168
